"","x"
"TCGA-BH-A0H7-11A-13R-A089-07",1
"TCGA-BH-A18K-01A-11R-A12D-07",-1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-E2-A1BC-11A-32R-A12P-07",1
"TCGA-BH-A1FU-11A-23R-A14D-07",1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A0BC-01A-22R-A084-07",-1
"TCGA-BH-A1FD-11B-21R-A13Q-07",1
"TCGA-BH-A0DQ-11A-12R-A089-07",1
"TCGA-E9-A1N5-01A-11R-A14D-07",-1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A1EO-01A-11R-A137-07",-1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-E9-A1N6-11A-32R-A144-07",1
"TCGA-E2-A1L7-11A-33R-A144-07",1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-BH-A18V-11A-52R-A12D-07",1
"TCGA-BH-A1FE-01A-11R-A13Q-07",-1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-AC-A23H-01A-11R-A157-07",-1
"TCGA-BH-A18J-11A-31R-A12D-07",1
"TCGA-AC-A2FM-01A-11R-A19W-07",-1
"TCGA-BH-A0BA-11A-22R-A19E-07",1
"TCGA-BH-A203-11A-42R-A169-07",1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A1FU-01A-11R-A14D-07",-1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-BH-A0DD-11A-23R-A12P-07",1
"TCGA-BH-A1F0-11B-23R-A137-07",1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-BH-A1FN-01A-11R-A13Q-07",-1
"TCGA-BH-A1FC-11A-32R-A13Q-07",1
"TCGA-AC-A2FF-01A-11R-A17B-07",-1
"TCGA-BH-A18S-11A-43R-A12D-07",1
