"","x"
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-BH-A0BJ-11A-23R-A089-07",1
"TCGA-BH-A1EW-11B-33R-A137-07",1
"TCGA-BH-A1FG-01A-11R-A13Q-07",-1
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A0DQ-01A-11R-A084-07",-1
"TCGA-E9-A1NA-11A-33R-A144-07",1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-A7-A13F-11A-42R-A12P-07",1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-BH-A0C3-11A-23R-A12P-07",1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-BH-A1FH-01A-12R-A13Q-07",-1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-AC-A2FM-01A-11R-A19W-07",-1
"TCGA-BH-A1FE-01A-11R-A13Q-07",-1
"TCGA-BH-A0BZ-11A-61R-A12P-07",1
"TCGA-BH-A1EN-01A-11R-A13Q-07",-1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-BH-A18P-11A-43R-A12D-07",1
"TCGA-A7-A13E-01A-11R-A12P-07",-1
"TCGA-BH-A203-11A-42R-A169-07",1
"TCGA-E9-A1RC-01A-11R-A157-07",-1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-BH-A0BV-01A-11R-A00Z-07",-1
"TCGA-BH-A18V-01A-11R-A12D-07",-1
"TCGA-BH-A1FH-11B-42R-A13Q-07",1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A0B8-01A-21R-A056-07",-1
"TCGA-BH-A0HA-01A-11R-A12P-07",-1
