"","x"
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-BH-A0H9-11A-22R-A466-07",1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-BH-A0H7-11A-13R-A089-07",1
"TCGA-E9-A1N6-11A-32R-A144-07",1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A1EV-11A-24R-A137-07",1
"TCGA-BH-A1FE-01A-11R-A13Q-07",-1
"TCGA-E9-A1N9-01A-11R-A14D-07",-1
"TCGA-BH-A0E0-01A-11R-A056-07",-1
"TCGA-BH-A1EO-11A-31R-A137-07",1
"TCGA-BH-A0H5-11A-62R-A115-07",1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-BH-A0DP-11A-12R-A089-07",1
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1
"TCGA-BH-A204-01A-11R-A157-07",-1
"TCGA-BH-A0DO-11A-22R-A12D-07",1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-BH-A1F6-01A-11R-A13Q-07",-1
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-BH-A1FG-01A-11R-A13Q-07",-1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-BH-A0C3-01A-21R-A12P-07",-1
"TCGA-E9-A1NF-11A-73R-A14D-07",1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-BH-A1FR-01A-11R-A13Q-07",-1
"TCGA-E2-A15M-01A-11R-A12D-07",-1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-BH-A1FD-01A-11R-A13Q-07",-1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-BH-A18J-11A-31R-A12D-07",1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-BH-A1FC-11A-32R-A13Q-07",1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-E9-A1ND-01A-11R-A144-07",-1
