"","x"
"TCGA-BH-A1FN-11A-34R-A13Q-07",1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-A7-A13G-11A-51R-A13Q-07",1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A0C0-11A-21R-A089-07",1
"TCGA-BH-A1EW-01A-11R-A137-07",-1
"TCGA-BH-A0C0-01A-21R-A056-07",-1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A1EO-11A-31R-A137-07",1
"TCGA-BH-A18P-11A-43R-A12D-07",1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A0BT-01A-11R-A12P-07",-1
"TCGA-BH-A1FB-11A-33R-A13Q-07",1
"TCGA-BH-A0B7-11A-34R-A115-07",1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-E2-A153-01A-12R-A12D-07",-1
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-AC-A2FF-11A-13R-A17B-07",1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-E2-A15M-01A-11R-A12D-07",-1
"TCGA-BH-A1FD-11B-21R-A13Q-07",1
"TCGA-BH-A0BJ-11A-23R-A089-07",1
"TCGA-BH-A18P-01A-11R-A12D-07",-1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-E9-A1N6-11A-32R-A144-07",1
"TCGA-E2-A1LS-11A-32R-A157-07",1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-E2-A1L7-11A-33R-A144-07",1
"TCGA-E2-A1LB-01A-11R-A144-07",-1
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1
"TCGA-BH-A18V-01A-11R-A12D-07",-1
"TCGA-E9-A1N5-01A-11R-A14D-07",-1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-BH-A1FD-01A-11R-A13Q-07",-1
