"","x"
"TCGA-E9-A1N9-01A-11R-A14D-07",-1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A1FB-11A-33R-A13Q-07",1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-E2-A1LH-01A-11R-A14D-07",-1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A0DZ-01A-11R-A00Z-07",-1
"TCGA-BH-A0BC-11A-22R-A089-07",1
"TCGA-BH-A0C3-01A-21R-A12P-07",-1
"TCGA-E9-A1RH-11A-34R-A169-07",1
"TCGA-BH-A0DQ-01A-11R-A084-07",-1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-BH-A1EN-01A-11R-A13Q-07",-1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-A7-A13F-11A-42R-A12P-07",1
"TCGA-BH-A1F6-11B-94R-A13Q-07",1
"TCGA-E2-A1L7-01A-11R-A144-07",-1
"TCGA-AC-A23H-01A-11R-A157-07",-1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-E9-A1N5-11A-41R-A14D-07",1
"TCGA-BH-A1FN-01A-11R-A13Q-07",-1
"TCGA-BH-A18U-01A-21R-A12D-07",-1
"TCGA-BH-A0BW-11A-12R-A115-07",1
"TCGA-BH-A1FM-01A-11R-A13Q-07",-1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-BH-A18V-11A-52R-A12D-07",1
"TCGA-BH-A0AZ-11A-22R-A12P-07",1
"TCGA-BH-A18S-01A-11R-A12D-07",-1
"TCGA-BH-A0DV-01A-21R-A12P-07",-1
"TCGA-BH-A18J-11A-31R-A12D-07",1
"TCGA-A7-A13E-01A-11R-A12P-07",-1
"TCGA-BH-A1FH-01A-12R-A13Q-07",-1
"TCGA-BH-A18P-11A-43R-A12D-07",1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A18K-11A-13R-A12D-07",1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-GI-A2C8-11A-22R-A16F-07",1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-BH-A0B8-11A-41R-A089-07",1
"TCGA-E9-A1N6-11A-32R-A144-07",1
"TCGA-BH-A0BJ-11A-23R-A089-07",1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
