"","x"
"TCGA-BH-A0BC-01A-22R-A084-07",-1
"TCGA-BH-A1FH-11B-42R-A13Q-07",1
"TCGA-E9-A1RD-01A-11R-A157-07",-1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-E2-A1L7-11A-33R-A144-07",1
"TCGA-BH-A209-01A-11R-A157-07",-1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A204-01A-11R-A157-07",-1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A18S-11A-43R-A12D-07",1
"TCGA-GI-A2C8-11A-22R-A16F-07",1
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-BH-A1FM-11B-23R-A13Q-07",1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-BH-A0C0-11A-21R-A089-07",1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-BH-A1FR-01A-11R-A13Q-07",-1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-BH-A0BJ-01A-11R-A056-07",-1
"TCGA-BH-A0E0-11A-13R-A089-07",1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A0AU-01A-11R-A12P-07",-1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-E2-A1IG-01A-11R-A144-07",-1
"TCGA-BH-A203-11A-42R-A169-07",1
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
"TCGA-BH-A18Q-01A-12R-A12D-07",-1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-BH-A0E0-01A-11R-A056-07",-1
"TCGA-BH-A0BV-11A-31R-A089-07",1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-A7-A13F-11A-42R-A12P-07",1
"TCGA-E9-A1N6-01A-11R-A144-07",-1
"TCGA-E2-A1BC-01A-11R-A12P-07",-1
"TCGA-E2-A1BC-11A-32R-A12P-07",1
