"","x"
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
"TCGA-E9-A1N6-01A-11R-A144-07",-1
"TCGA-BH-A0E0-11A-13R-A089-07",1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-E2-A1LS-11A-32R-A157-07",1
"TCGA-BH-A0B8-01A-21R-A056-07",-1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-BH-A0AZ-11A-22R-A12P-07",1
"TCGA-E2-A158-11A-22R-A12D-07",1
"TCGA-E9-A1NF-11A-73R-A14D-07",1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-BH-A1FG-11B-12R-A13Q-07",1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-BH-A1FR-11B-42R-A13Q-07",1
"TCGA-BH-A0B3-01A-11R-A056-07",-1
"TCGA-E9-A1N4-11A-33R-A14M-07",1
"TCGA-BH-A0DV-11A-22R-A12P-07",1
"TCGA-BH-A1EW-01A-11R-A137-07",-1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
"TCGA-E9-A1N9-01A-11R-A14D-07",-1
"TCGA-BH-A0C0-01A-21R-A056-07",-1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A209-01A-11R-A157-07",-1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-BH-A18Q-01A-12R-A12D-07",-1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-E2-A1L7-11A-33R-A144-07",1
"TCGA-BH-A1FD-11B-21R-A13Q-07",1
"TCGA-E2-A1LH-11A-22R-A14D-07",1
"TCGA-BH-A1F6-01A-11R-A13Q-07",-1
"TCGA-BH-A1FB-01A-11R-A13Q-07",-1
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-GI-A2C8-01A-11R-A16F-07",-1
"TCGA-BH-A0B7-11A-34R-A115-07",1
