"","x"
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-E2-A1IG-11A-22R-A144-07",1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-A7-A0CE-11A-21R-A089-07",1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-BH-A0DK-01A-21R-A056-07",-1
"TCGA-E2-A153-01A-12R-A12D-07",-1
"TCGA-BH-A1FN-01A-11R-A13Q-07",-1
"TCGA-BH-A0BV-11A-31R-A089-07",1
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-E2-A1LB-01A-11R-A144-07",-1
"TCGA-BH-A18M-01A-11R-A12D-07",-1
"TCGA-BH-A1FB-11A-33R-A13Q-07",1
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1
"TCGA-E2-A15M-01A-11R-A12D-07",-1
"TCGA-BH-A0B3-01A-11R-A056-07",-1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-E2-A1BC-01A-11R-A12P-07",-1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-E9-A1NF-01A-11R-A14D-07",-1
"TCGA-BH-A18N-11A-43R-A12D-07",1
"TCGA-BH-A0BC-01A-22R-A084-07",-1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-E9-A1N6-01A-11R-A144-07",-1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-BH-A0HK-11A-11R-A089-07",1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-E2-A1LH-11A-22R-A14D-07",1
"TCGA-BH-A0DO-11A-22R-A12D-07",1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-E2-A1BC-11A-32R-A12P-07",1
"TCGA-BH-A0B7-11A-34R-A115-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-E9-A1N5-11A-41R-A14D-07",1
"TCGA-BH-A0BS-11A-11R-A12P-07",1
"TCGA-BH-A18V-01A-11R-A12D-07",-1
