"","x"
"TCGA-BH-A0DG-01A-21R-A12P-07",-1
"TCGA-GI-A2C8-01A-11R-A16F-07",-1
"TCGA-BH-A203-11A-42R-A169-07",1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-E2-A1IG-01A-11R-A144-07",-1
"TCGA-BH-A1F8-11B-21R-A13Q-07",1
"TCGA-BH-A18U-01A-21R-A12D-07",-1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A1FU-11A-23R-A14D-07",1
"TCGA-BH-A0C0-01A-21R-A056-07",-1
"TCGA-E2-A1LH-01A-11R-A14D-07",-1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-E9-A1N4-11A-33R-A14M-07",1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-BH-A0HA-01A-11R-A12P-07",-1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A0BZ-01A-31R-A12P-07",-1
"TCGA-BH-A0H9-11A-22R-A466-07",1
"TCGA-BH-A0BC-01A-22R-A084-07",-1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-E9-A1ND-01A-11R-A144-07",-1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
"TCGA-E9-A1N6-11A-32R-A144-07",1
"TCGA-BH-A0HK-01A-11R-A056-07",-1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-BH-A0H5-11A-62R-A115-07",1
"TCGA-BH-A0DG-11A-43R-A12P-07",1
"TCGA-BH-A1F0-11B-23R-A137-07",1
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A208-11A-51R-A157-07",1
"TCGA-BH-A18P-11A-43R-A12D-07",1
