"","x"
"TCGA-E9-A1RC-01A-11R-A157-07",-1
"TCGA-E2-A153-01A-12R-A12D-07",-1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-E9-A1N4-01A-11R-A14M-07",-1
"TCGA-BH-A0DO-01B-11R-A12D-07",-1
"TCGA-BH-A18L-01A-32R-A12D-07",-1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
"TCGA-BH-A0DV-01A-21R-A12P-07",-1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-AC-A2FB-11A-13R-A17B-07",1
"TCGA-BH-A0BA-11A-22R-A19E-07",1
"TCGA-BH-A0DG-11A-43R-A12P-07",1
"TCGA-BH-A1EN-01A-11R-A13Q-07",-1
"TCGA-BH-A0DL-01A-11R-A115-07",-1
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-BH-A1EO-11A-31R-A137-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-BH-A0B3-01A-11R-A056-07",-1
"TCGA-E9-A1NF-11A-73R-A14D-07",1
"TCGA-BH-A0B3-11B-21R-A089-07",1
"TCGA-BH-A18P-01A-11R-A12D-07",-1
"TCGA-BH-A0B8-01A-21R-A056-07",-1
"TCGA-AC-A23H-11A-12R-A157-07",1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-BH-A0BS-01A-11R-A12P-07",-1
"TCGA-E9-A1RD-01A-11R-A157-07",-1
"TCGA-BH-A0DH-11A-31R-A089-07",1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-GI-A2C8-11A-22R-A16F-07",1
"TCGA-A7-A0CE-11A-21R-A089-07",1
"TCGA-BH-A209-01A-11R-A157-07",-1
"TCGA-BH-A0C0-11A-21R-A089-07",1
