"","x"
"TCGA-BH-A0BV-01A-11R-A00Z-07",-1
"TCGA-E2-A15I-01A-21R-A137-07",-1
"TCGA-BH-A0AY-01A-21R-A00Z-07",-1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-BH-A0BS-11A-11R-A12P-07",1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-AC-A2FB-11A-13R-A17B-07",1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-BH-A18U-01A-21R-A12D-07",-1
"TCGA-BH-A0BC-11A-22R-A089-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-BH-A1F0-11B-23R-A137-07",1
"TCGA-BH-A0BS-01A-11R-A12P-07",-1
"TCGA-BH-A0AY-11A-23R-A089-07",1
"TCGA-BH-A18M-11A-33R-A12D-07",1
"TCGA-E9-A1N5-11A-41R-A14D-07",1
"TCGA-BH-A0B7-11A-34R-A115-07",1
"TCGA-BH-A0BC-01A-22R-A084-07",-1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-BH-A18J-11A-31R-A12D-07",1
"TCGA-E9-A1NA-11A-33R-A144-07",1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A1FC-11A-32R-A13Q-07",1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-BH-A1EW-11B-33R-A137-07",1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-BH-A1FN-01A-11R-A13Q-07",-1
"TCGA-BH-A0DL-01A-11R-A115-07",-1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-BH-A0E1-01A-11R-A056-07",-1
"TCGA-BH-A0B7-01A-12R-A115-07",-1
"TCGA-BH-A18S-01A-11R-A12D-07",-1
"TCGA-A7-A0DB-01A-11R-A00Z-07",-1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A0BT-01A-11R-A12P-07",-1
"TCGA-BH-A0BZ-11A-61R-A12P-07",1
"TCGA-BH-A0AU-01A-11R-A12P-07",-1
