"","x"
"TCGA-BH-A1F6-01A-11R-A13Q-07",-1
"TCGA-AC-A2FF-11A-13R-A17B-07",1
"TCGA-AC-A2FF-01A-11R-A17B-07",-1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
"TCGA-BH-A18P-01A-11R-A12D-07",-1
"TCGA-BH-A1EN-01A-11R-A13Q-07",-1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-E2-A1L7-01A-11R-A144-07",-1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-BH-A0B3-11B-21R-A089-07",1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-BH-A0BT-01A-11R-A12P-07",-1
"TCGA-BH-A1FE-01A-11R-A13Q-07",-1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-E2-A158-11A-22R-A12D-07",1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A0BW-11A-12R-A115-07",1
"TCGA-BH-A0AY-11A-23R-A089-07",1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-E9-A1NA-11A-33R-A144-07",1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-BH-A0BZ-01A-31R-A12P-07",-1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-BH-A0E0-01A-11R-A056-07",-1
"TCGA-E9-A1N4-11A-33R-A14M-07",1
"TCGA-BH-A0DL-01A-11R-A115-07",-1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-E2-A1LB-01A-11R-A144-07",-1
"TCGA-BH-A203-01A-12R-A169-07",-1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A1FU-11A-23R-A14D-07",1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-E9-A1NF-01A-11R-A14D-07",-1
"TCGA-BH-A18L-01A-32R-A12D-07",-1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-BH-A0DO-01B-11R-A12D-07",-1
"TCGA-BH-A18U-11A-23R-A12D-07",1
