"","x"
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-E2-A158-01A-11R-A12D-07",-1
"TCGA-AC-A2FB-01A-11R-A17B-07",-1
"TCGA-BH-A1F8-11B-21R-A13Q-07",1
"TCGA-BH-A0BT-11A-21R-A12P-07",1
"TCGA-BH-A0B3-01A-11R-A056-07",-1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
"TCGA-AC-A2FM-01A-11R-A19W-07",-1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A0E1-11A-13R-A089-07",1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-E2-A15K-11A-13R-A12P-07",1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A0DQ-11A-12R-A089-07",1
"TCGA-A7-A0D9-01A-31R-A056-07",-1
"TCGA-BH-A18M-11A-33R-A12D-07",1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-AC-A2FF-01A-11R-A17B-07",-1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-E9-A1N4-01A-11R-A14M-07",-1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-E2-A1BC-11A-32R-A12P-07",1
"TCGA-E2-A1LH-01A-11R-A14D-07",-1
"TCGA-A7-A13F-11A-42R-A12P-07",1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-E9-A1N5-01A-11R-A14D-07",-1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-BH-A0BQ-11A-33R-A115-07",1
"TCGA-BH-A0DQ-01A-11R-A084-07",-1
"TCGA-E2-A153-01A-12R-A12D-07",-1
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A0DG-11A-43R-A12P-07",1
"TCGA-BH-A1FM-11B-23R-A13Q-07",1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-E9-A1N9-01A-11R-A14D-07",-1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-BH-A0AZ-11A-22R-A12P-07",1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-BH-A1FC-11A-32R-A13Q-07",1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
