"","x"
"TCGA-BH-A0B7-01A-12R-A115-07",-1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-BH-A1FH-11B-42R-A13Q-07",1
"TCGA-BH-A0C3-01A-21R-A12P-07",-1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-BH-A0BA-01A-11R-A056-07",-1
"TCGA-BH-A0BQ-11A-33R-A115-07",1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-BH-A0E1-11A-13R-A089-07",1
"TCGA-E9-A1RD-01A-11R-A157-07",-1
"TCGA-E2-A1IG-01A-11R-A144-07",-1
"TCGA-BH-A0DH-01A-11R-A084-07",-1
"TCGA-BH-A0DG-11A-43R-A12P-07",1
"TCGA-BH-A203-01A-12R-A169-07",-1
"TCGA-E9-A1RH-11A-34R-A169-07",1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A0DG-01A-21R-A12P-07",-1
"TCGA-BH-A208-11A-51R-A157-07",1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-BH-A18M-11A-33R-A12D-07",1
"TCGA-BH-A18S-01A-11R-A12D-07",-1
"TCGA-A7-A13F-11A-42R-A12P-07",1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A1F0-11B-23R-A137-07",1
"TCGA-BH-A1FE-01A-11R-A13Q-07",-1
"TCGA-BH-A0BS-11A-11R-A12P-07",1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A0DK-01A-21R-A056-07",-1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
"TCGA-BH-A1FB-01A-11R-A13Q-07",-1
"TCGA-BH-A18Q-01A-12R-A12D-07",-1
"TCGA-BH-A0AY-11A-23R-A089-07",1
"TCGA-BH-A0B8-11A-41R-A089-07",1
"TCGA-BH-A18K-11A-13R-A12D-07",1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-E9-A1ND-01A-11R-A144-07",-1
"TCGA-BH-A0DP-11A-12R-A089-07",1
"TCGA-BH-A1FD-01A-11R-A13Q-07",-1
"TCGA-BH-A0DO-01B-11R-A12D-07",-1
"TCGA-BH-A1FD-11B-21R-A13Q-07",1
"TCGA-A7-A13G-11A-51R-A13Q-07",1
"TCGA-A7-A0DB-11A-33R-A089-07",1
"TCGA-E2-A1L7-11A-33R-A144-07",1
