"","x"
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-BH-A1F8-11B-21R-A13Q-07",1
"TCGA-E2-A15M-01A-11R-A12D-07",-1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-BH-A0B8-11A-41R-A089-07",1
"TCGA-A7-A0D9-01A-31R-A056-07",-1
"TCGA-BH-A0HK-01A-11R-A056-07",-1
"TCGA-E9-A1NF-11A-73R-A14D-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-E2-A1LH-01A-11R-A14D-07",-1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-BH-A18M-11A-33R-A12D-07",1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-BH-A0E1-01A-11R-A056-07",-1
"TCGA-BH-A0DL-01A-11R-A115-07",-1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-BH-A1FH-11B-42R-A13Q-07",1
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A0DH-01A-11R-A084-07",-1
"TCGA-BH-A0DD-11A-23R-A12P-07",1
"TCGA-BH-A0DV-11A-22R-A12P-07",1
"TCGA-A7-A13E-11A-61R-A12P-07",1
"TCGA-BH-A0BJ-01A-11R-A056-07",-1
"TCGA-BH-A1FN-11A-34R-A13Q-07",1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-BH-A203-01A-12R-A169-07",-1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-E2-A1LH-11A-22R-A14D-07",1
"TCGA-BH-A0C0-01A-21R-A056-07",-1
"TCGA-BH-A0B3-11B-21R-A089-07",1
"TCGA-BH-A1FG-11B-12R-A13Q-07",1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A0BZ-11A-61R-A12P-07",1
"TCGA-BH-A0DK-01A-21R-A056-07",-1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-E2-A15K-01A-11R-A12P-07",-1
"TCGA-AC-A23H-11A-12R-A157-07",1
"TCGA-BH-A1FM-01A-11R-A13Q-07",-1
