"","x"
"TCGA-BH-A18K-11A-13R-A12D-07",1
"TCGA-E9-A1N5-01A-11R-A14D-07",-1
"TCGA-BH-A0C3-11A-23R-A12P-07",1
"TCGA-BH-A1FG-01A-11R-A13Q-07",-1
"TCGA-E9-A1N6-01A-11R-A144-07",-1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-BH-A0DQ-11A-12R-A089-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-BH-A208-11A-51R-A157-07",1
"TCGA-BH-A0BJ-01A-11R-A056-07",-1
"TCGA-E9-A1RF-11A-32R-A157-07",1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-BH-A0E1-01A-11R-A056-07",-1
"TCGA-A7-A13G-11A-51R-A13Q-07",1
"TCGA-E9-A1N5-11A-41R-A14D-07",1
"TCGA-E9-A1RB-01A-11R-A157-07",-1
"TCGA-BH-A0DL-01A-11R-A115-07",-1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-BH-A18K-01A-11R-A12D-07",-1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
"TCGA-A7-A13E-01A-11R-A12P-07",-1
"TCGA-AC-A23H-11A-12R-A157-07",1
"TCGA-BH-A1EN-11A-23R-A13Q-07",1
"TCGA-BH-A1ET-01A-11R-A137-07",-1
"TCGA-E2-A1BC-01A-11R-A12P-07",-1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-BH-A1EO-11A-31R-A137-07",1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-BH-A203-01A-12R-A169-07",-1
"TCGA-E2-A1LH-01A-11R-A14D-07",-1
"TCGA-BH-A18L-11A-42R-A12D-07",1
"TCGA-BH-A204-01A-11R-A157-07",-1
"TCGA-BH-A18M-01A-11R-A12D-07",-1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-E9-A1NA-11A-33R-A144-07",1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-AC-A2FF-11A-13R-A17B-07",1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-BH-A0BC-11A-22R-A089-07",1
"TCGA-BH-A18L-01A-32R-A12D-07",-1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-BH-A0BM-01A-11R-A056-07",-1
