"","x"
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-BH-A1F2-11A-32R-A13Q-07",1
"TCGA-BH-A18S-01A-11R-A12D-07",-1
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-BH-A1FN-11A-34R-A13Q-07",1
"TCGA-BH-A0BA-11A-22R-A19E-07",1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-BH-A1FG-11B-12R-A13Q-07",1
"TCGA-BH-A0HK-11A-11R-A089-07",1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-BH-A0DQ-01A-11R-A084-07",-1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A1F0-11B-23R-A137-07",1
"TCGA-E9-A1RD-11A-33R-A157-07",1
"TCGA-BH-A1FR-11B-42R-A13Q-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-BH-A18V-11A-52R-A12D-07",1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A0HA-01A-11R-A12P-07",-1
"TCGA-BH-A204-11A-53R-A157-07",1
"TCGA-BH-A204-01A-11R-A157-07",-1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-AC-A23H-11A-12R-A157-07",1
"TCGA-BH-A18J-11A-31R-A12D-07",1
"TCGA-BH-A1EV-11A-24R-A137-07",1
"TCGA-BH-A0BS-01A-11R-A12P-07",-1
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-BH-A1FM-01A-11R-A13Q-07",-1
"TCGA-BH-A18M-11A-33R-A12D-07",1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-E2-A15K-11A-13R-A12P-07",1
"TCGA-BH-A0BT-11A-21R-A12P-07",1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-BH-A18Q-11A-34R-A12D-07",1
"TCGA-BH-A209-01A-11R-A157-07",-1
"TCGA-BH-A1FU-01A-11R-A14D-07",-1
"TCGA-GI-A2C8-01A-11R-A16F-07",-1
"TCGA-BH-A1EW-11B-33R-A137-07",1
