"","x"
"TCGA-BH-A0B3-01A-11R-A056-07",-1
"TCGA-BH-A0E1-11A-13R-A089-07",1
"TCGA-BH-A0DZ-01A-11R-A00Z-07",-1
"TCGA-BH-A0C3-01A-21R-A12P-07",-1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A0BA-11A-22R-A19E-07",1
"TCGA-BH-A1EU-01A-11R-A137-07",-1
"TCGA-BH-A1F2-01A-31R-A13Q-07",-1
"TCGA-BH-A0AU-01A-11R-A12P-07",-1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-A7-A0D9-01A-31R-A056-07",-1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-BH-A0C0-01A-21R-A056-07",-1
"TCGA-BH-A1FM-11B-23R-A13Q-07",1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A0DH-01A-11R-A084-07",-1
"TCGA-E9-A1NA-11A-33R-A144-07",1
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-BH-A0H9-11A-22R-A466-07",1
"TCGA-E9-A1RB-11A-33R-A157-07",1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-E9-A1RH-11A-34R-A169-07",1
"TCGA-AC-A23H-01A-11R-A157-07",-1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-BH-A0DQ-11A-12R-A089-07",1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-E2-A1LS-01A-12R-A157-07",-1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A0BJ-11A-23R-A089-07",1
"TCGA-BH-A1F6-11B-94R-A13Q-07",1
"TCGA-E9-A1R7-01A-11R-A14M-07",-1
"TCGA-BH-A18S-11A-43R-A12D-07",1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-BH-A0AZ-11A-22R-A12P-07",1
"TCGA-BH-A0BJ-01A-11R-A056-07",-1
"TCGA-BH-A0DT-11A-12R-A12D-07",1
"TCGA-GI-A2C9-01A-11R-A21T-07",-1
"TCGA-BH-A203-01A-12R-A169-07",-1
"TCGA-E2-A1LS-11A-32R-A157-07",1
"TCGA-BH-A1FC-11A-32R-A13Q-07",1
"TCGA-BH-A0DG-01A-21R-A12P-07",-1
"TCGA-BH-A0H5-01A-21R-A115-07",-1
"TCGA-BH-A0AY-01A-21R-A00Z-07",-1
