"","x"
"TCGA-A7-A13F-01A-11R-A12P-07",-1
"TCGA-BH-A0BS-11A-11R-A12P-07",1
"TCGA-E9-A1RH-11A-34R-A169-07",1
"TCGA-E2-A15M-11A-22R-A12D-07",1
"TCGA-GI-A2C8-01A-11R-A16F-07",-1
"TCGA-GI-A2C8-11A-22R-A16F-07",1
"TCGA-E2-A1IG-01A-11R-A144-07",-1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A18L-01A-32R-A12D-07",-1
"TCGA-BH-A1FB-11A-33R-A13Q-07",1
"TCGA-BH-A0B7-01A-12R-A115-07",-1
"TCGA-BH-A0BJ-01A-11R-A056-07",-1
"TCGA-BH-A0C3-11A-23R-A12P-07",1
"TCGA-BH-A0BW-01A-11R-A115-07",-1
"TCGA-A7-A13E-01A-11R-A12P-07",-1
"TCGA-BH-A0DH-01A-11R-A084-07",-1
"TCGA-BH-A0E0-01A-11R-A056-07",-1
"TCGA-E9-A1RH-01A-21R-A169-07",-1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-BH-A0AZ-01A-21R-A12P-07",-1
"TCGA-BH-A18Q-01A-12R-A12D-07",-1
"TCGA-E9-A1RI-01A-11R-A169-07",-1
"TCGA-BH-A1FE-11B-14R-A13Q-07",1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-E2-A1IG-11A-22R-A144-07",1
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-E9-A1ND-01A-11R-A144-07",-1
"TCGA-A7-A13E-11A-61R-A12P-07",1
"TCGA-BH-A1ET-11B-23R-A137-07",1
"TCGA-GI-A2C9-11A-22R-A21T-07",1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-E2-A158-11A-22R-A12D-07",1
"TCGA-BH-A18S-01A-11R-A12D-07",-1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-BH-A0HK-11A-11R-A089-07",1
"TCGA-BH-A1FN-11A-34R-A13Q-07",1
"TCGA-A7-A0CE-11A-21R-A089-07",1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-BH-A1FD-01A-11R-A13Q-07",-1
"TCGA-BH-A18N-11A-43R-A12D-07",1
"TCGA-E9-A1N9-01A-11R-A14D-07",-1
