"","x"
"TCGA-BH-A18S-11A-43R-A12D-07",1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A0DV-01A-21R-A12P-07",-1
"TCGA-E9-A1ND-11A-43R-A144-07",1
"TCGA-BH-A0BT-01A-11R-A12P-07",-1
"TCGA-BH-A0DL-11A-13R-A115-07",1
"TCGA-BH-A0BT-11A-21R-A12P-07",1
"TCGA-A7-A0D9-01A-31R-A056-07",-1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A1EO-01A-11R-A137-07",-1
"TCGA-BH-A0AZ-11A-22R-A12P-07",1
"TCGA-E9-A1RC-01A-11R-A157-07",-1
"TCGA-E2-A158-11A-22R-A12D-07",1
"TCGA-BH-A203-11A-42R-A169-07",1
"TCGA-A7-A13G-01A-11R-A13Q-07",-1
"TCGA-BH-A0BV-01A-11R-A00Z-07",-1
"TCGA-BH-A0E1-11A-13R-A089-07",1
"TCGA-BH-A0BM-11A-12R-A089-07",1
"TCGA-E2-A15K-11A-13R-A12P-07",1
"TCGA-BH-A208-11A-51R-A157-07",1
"TCGA-E2-A15I-01A-21R-A137-07",-1
"TCGA-E2-A15M-11A-22R-A12D-07",1
"TCGA-BH-A0C3-01A-21R-A12P-07",-1
"TCGA-BH-A18N-01A-11R-A12D-07",-1
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-BH-A0BJ-11A-23R-A089-07",1
"TCGA-BH-A18R-01A-11R-A12D-07",-1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-BH-A208-01A-11R-A157-07",-1
"TCGA-BH-A1FM-01A-11R-A13Q-07",-1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-BH-A1F6-01A-11R-A13Q-07",-1
"TCGA-BH-A0H7-11A-13R-A089-07",1
"TCGA-BH-A0BQ-11A-33R-A115-07",1
"TCGA-BH-A18K-11A-13R-A12D-07",1
"TCGA-BH-A0B8-11A-41R-A089-07",1
"TCGA-E9-A1NG-01A-21R-A14M-07",-1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-GI-A2C8-01A-11R-A16F-07",-1
"TCGA-BH-A0DQ-11A-12R-A089-07",1
