"","x"
"TCGA-BH-A18J-01A-11R-A12D-07",-1
"TCGA-BH-A0E1-01A-11R-A056-07",-1
"TCGA-E2-A158-01A-11R-A12D-07",-1
"TCGA-AC-A2FM-11B-32R-A19W-07",1
"TCGA-E9-A1N9-11A-71R-A14D-07",1
"TCGA-A7-A0CE-01A-11R-A00Z-07",-1
"TCGA-BH-A0AY-11A-23R-A089-07",1
"TCGA-E9-A1RD-01A-11R-A157-07",-1
"TCGA-AC-A23H-01A-11R-A157-07",-1
"TCGA-E2-A153-01A-12R-A12D-07",-1
"TCGA-E9-A1N5-01A-11R-A14D-07",-1
"TCGA-BH-A1FC-01A-11R-A13Q-07",-1
"TCGA-GI-A2C8-11A-22R-A16F-07",1
"TCGA-BH-A0BV-01A-11R-A00Z-07",-1
"TCGA-BH-A0BT-01A-11R-A12P-07",-1
"TCGA-BH-A1F8-01A-11R-A13Q-07",-1
"TCGA-BH-A18Q-11A-34R-A12D-07",1
"TCGA-BH-A0H9-11A-22R-A466-07",1
"TCGA-BH-A18U-01A-21R-A12D-07",-1
"TCGA-BH-A1F0-01A-11R-A137-07",-1
"TCGA-BH-A0AU-11A-11R-A12P-07",1
"TCGA-BH-A0DO-11A-22R-A12D-07",1
"TCGA-BH-A209-11A-42R-A157-07",1
"TCGA-BH-A0DK-11A-13R-A089-07",1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-BH-A0DV-11A-22R-A12P-07",1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A18R-11A-42R-A12D-07",1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-E9-A1RI-11A-41R-A169-07",1
"TCGA-E2-A1LH-11A-22R-A14D-07",1
"TCGA-E2-A1IG-01A-11R-A144-07",-1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-BH-A1FR-11B-42R-A13Q-07",1
"TCGA-BH-A0DV-01A-21R-A12P-07",-1
"TCGA-BH-A0BQ-01A-21R-A115-07",-1
"TCGA-BH-A0DH-11A-31R-A089-07",1
"TCGA-E9-A1NA-01A-11R-A144-07",-1
"TCGA-BH-A0C0-11A-21R-A089-07",1
"TCGA-E9-A1R7-11A-42R-A14M-07",1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-E2-A15K-11A-13R-A12P-07",1
