"","x"
"TCGA-BH-A18Q-11A-34R-A12D-07",1
"TCGA-BH-A204-01A-11R-A157-07",-1
"TCGA-BH-A18U-11A-23R-A12D-07",1
"TCGA-E9-A1RC-11A-33R-A157-07",1
"TCGA-BH-A0B5-01A-11R-A12P-07",-1
"TCGA-A7-A0CH-11A-32R-A089-07",1
"TCGA-A7-A0CE-11A-21R-A089-07",1
"TCGA-E2-A153-11A-31R-A12D-07",1
"TCGA-BH-A0DZ-11A-22R-A089-07",1
"TCGA-BH-A18S-11A-43R-A12D-07",1
"TCGA-BH-A0DP-01A-21R-A056-07",-1
"TCGA-BH-A209-01A-11R-A157-07",-1
"TCGA-A7-A0D9-11A-53R-A089-07",1
"TCGA-BH-A0DQ-01A-11R-A084-07",-1
"TCGA-BH-A0H7-01A-13R-A056-07",-1
"TCGA-E9-A1NG-11A-52R-A14M-07",1
"TCGA-BH-A1FB-11A-33R-A13Q-07",1
"TCGA-E2-A1BC-01A-11R-A12P-07",-1
"TCGA-E2-A1IG-11A-22R-A144-07",1
"TCGA-E2-A15I-11A-32R-A137-07",1
"TCGA-E9-A1RF-01A-11R-A157-07",-1
"TCGA-E2-A1LS-11A-32R-A157-07",1
"TCGA-E9-A1N5-11A-41R-A14D-07",1
"TCGA-BH-A1EU-11A-23R-A137-07",1
"TCGA-BH-A0DT-01A-21R-A12D-07",-1
"TCGA-E2-A1LB-11A-22R-A144-07",1
"TCGA-E2-A15K-11A-13R-A12P-07",1
"TCGA-BH-A0H9-11A-22R-A466-07",1
"TCGA-BH-A0DH-01A-11R-A084-07",-1
"TCGA-BH-A0DG-01A-21R-A12P-07",-1
"TCGA-BH-A0DZ-01A-11R-A00Z-07",-1
"TCGA-BH-A0E0-01A-11R-A056-07",-1
"TCGA-BH-A18L-01A-32R-A12D-07",-1
"TCGA-BH-A1EV-01A-11R-A137-07",-1
"TCGA-E2-A158-01A-11R-A12D-07",-1
"TCGA-A7-A13E-01A-11R-A12P-07",-1
"TCGA-BH-A0AY-11A-23R-A089-07",1
"TCGA-BH-A0BQ-11A-33R-A115-07",1
"TCGA-BH-A1FM-01A-11R-A13Q-07",-1
"TCGA-BH-A0BW-11A-12R-A115-07",1
"TCGA-A7-A0CH-01A-21R-A00Z-07",-1
"TCGA-E9-A1N6-01A-11R-A144-07",-1
"TCGA-BH-A0DD-01A-31R-A12P-07",-1
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-1
